SPICEJET FLIGHTS SCHEDULE|||||||||
Direct & Via Flights|||||||||
All timings are shown in Local timings|||||||||
Schedule subject to change and regulatory authority approvals|||||||||
ORIGIN|DESTINATION|FREQUENCY|FLIGHT NO|DEPARTURE|ARRIVAL|VIA|EFFECTIVE FROM|EFFECTIVE TILL|REMARKS
MUMBAI|CHENNAI|DAILY|SG  407|10:20 PM|12:20 AM|-|31 JUL 15|24 OCT 15|
MUMBAI|CHENNAI|DAILY|SG  611|07:35 AM|09:35 AM|-|25 OCT 15|26 MAR 16|
MUMBAI|CHENNAI|DAILY|SG  407|08:20 PM|10:20 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|CHENNAI|DAILY|SG  407|09:55 PM|12:20 AM|-|27 MAR 16|30 JUN 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|01 JUL 15|24 OCT 15|
MUMBAI|HYDERABAD|DAILY|SG  423|04:45 PM|06:05 PM|-|08 AUG 15|24 OCT 15|
MUMBAI|HYDERABAD|DAILY|SG  703|10:10 PM|11:10 PM|-|15 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|25 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  423|04:05 PM|05:35 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|27 MAR 16|30 JUN 16|
MUMBAI|HYDERABAD|DAILY|SG  423|04:30 PM|05:50 PM|-|27 MAR 16|30 JUN 16|
MUMBAI|KOLKATA|DAILY|SG  185|07:35 AM|02:10 PM|DELHI, GUWAHATI|22 JUL 15|24 OCT 15|
MUMBAI|KOLKATA|DAILY|SG  487|07:45 PM|10:30 PM|-|18 AUG 15|24 OCT 15|
MUMBAI|KOLKATA|DAILY|SG  487|07:45 PM|10:30 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|KOLKATA|DAILY|SG  162|07:35 AM|02:15 PM|DELHI, GUWAHATI|27 MAR 16|30 JUN 16|
MUMBAI|KOLKATA|DAILY|SG  487|07:45 PM|10:30 PM|-|27 MAR 16|30 JUN 16|
MUMBAI|MADURAI|DAILY|SG  611|07:35 AM|11:20 AM|CHENNAI|25 OCT 15|26 MAR 16|
PUNE |BENGALURU|DAILY|SG  515|05:45 AM|07:20 AM|-|01 JUL 15|24 OCT 15|
PUNE |BENGALURU|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:10 PM|05:30 PM|-|26 AUG 15|24 OCT 15|
PUNE |BENGALURU|DAILY|SG  521|05:45 AM|07:20 AM|-|25 OCT 15|26 MAR 16|
PUNE |BENGALURU|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:45 PM|06:15 PM|-|25 OCT 15|26 MAR 16|
PUNE |BENGALURU|DAILY|SG  515|05:45 AM|07:20 AM|-|27 MAR 16|30 JUN 16|
PUNE |BENGALURU|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:00 PM|05:30 PM|-|27 MAR 16|30 JUN 16|
PUNE |CHENNAI|DAILY|SG  529|11:15 PM|01:00 AM|-|13 APR 15|24 OCT 15|
PUNE |CHENNAI|DAILY|SG  529|11:15 PM|01:00 AM|-|25 OCT 15|26 MAR 16|
PUNE |CHENNAI|DAILY|SG  529|11:15 PM|01:00 AM|-|27 MAR 16|30 JUN 16|
PUNE |HYDERABAD|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1016|04:00 PM|05:30 PM|-|10 AUG 15|24 OCT 15|
PUNE |HYDERABAD|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1047|04:00 PM|05:10 PM|-|25 OCT 15|26 MAR 16|
PUNE |HYDERABAD|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1016|04:00 PM|05:10 PM|-|27 MAR 16|30 JUN 16|
PUNE |KOLKATA|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:10 PM|09:00 PM|BENGALURU|26 AUG 15|24 OCT 15|
PUNE |KOLKATA|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:00 PM|08:35 PM|BENGALURU|27 MAR 16|30 JUN 16|
